script,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
Katakana,164.0,300.0,300.0,300.0,300.0,300.0,300.0,304.0,304.0,320.0,321.0
Gunjala_Gondi,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,63.0
Georgian,120.0,120.0,127.0,127.0,127.0,127.0,173.0,173.0,173.0,173.0,173.0
Linear_A,0.0,0.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0
Zanabazar_Square,0.0,0.0,0.0,0.0,0.0,72.0,72.0,72.0,72.0,72.0,72.0
Tirhuta,0.0,0.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
Caucasian_Albanian,0.0,0.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
Grantha,0.0,0.0,83.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Tibetan,195.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
Old_Persian,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Lepcha,0.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
Saurashtra,0.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
Cyrillic,277.0,408.0,431.0,434.0,443.0,443.0,443.0,443.0,443.0,443.0,506.0
Chorasmian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0
Sundanese,0.0,55.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Javanese,0.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Old_Permic,0.0,0.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
Sharada,0.0,0.0,85.0,94.0,94.0,94.0,94.0,94.0,96.0,96.0,96.0
Latin,1070.0,1267.0,1338.0,1349.0,1350.0,1350.0,1353.0,1366.0,1374.0,1475.0,1481.0
Hanunoo,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Kannada,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,90.0,91.0
Mro,0.0,0.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
New_Tai_Lue,80.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
Greek,506.0,511.0,516.0,516.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0
Anatolian_Hieroglyphs,0.0,0.0,0.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0
Vithkuqi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0
Yi,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0
Buhid,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Lao,65.0,65.0,67.0,67.0,67.0,67.0,67.0,82.0,82.0,82.0,83.0
Tai_Le,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Takri,0.0,0.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,68.0,68.0
Vai,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Balinese,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,124.0,124.0
Inscriptional_Parthian,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Meroitic_Hieroglyphs,0.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Tamil,71.0,72.0,72.0,72.0,72.0,72.0,72.0,123.0,123.0,123.0,123.0
Old_North_Arabian,0.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Tai_Viet,0.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Cypro_Minoan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0
Deseret,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Elbasan,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Nabataean,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Glagolitic,94.0,94.0,94.0,94.0,132.0,132.0,132.0,132.0,132.0,134.0,134.0
Hanifi_Rohingya,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0
Hebrew,133.0,133.0,133.0,133.0,133.0,133.0,134.0,134.0,134.0,134.0,134.0
Ogham,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Pahawh_Hmong,0.0,0.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
Sogdian,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,42.0
Carian,0.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
Newa,0.0,0.0,0.0,0.0,92.0,92.0,93.0,94.0,97.0,97.0,97.0
Dives_Akuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,72.0
Canadian_Aboriginal,630.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,726.0,726.0
Malayalam,78.0,98.0,99.0,100.0,114.0,117.0,117.0,117.0,118.0,118.0,118.0
Soyombo,0.0,0.0,0.0,0.0,0.0,80.0,81.0,83.0,83.0,83.0,83.0
Bamum,0.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0
Toto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0
Han,71570.0,75960.0,75963.0,81734.0,81734.0,89228.0,89233.0,89233.0,94204.0,94215.0,98408.0
Nag_Mundari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
Adlam,0.0,0.0,0.0,0.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0
Rejang,0.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
Old_Sogdian,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0
Old_Uyghur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0
Meroitic_Cursive,0.0,0.0,26.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Wancho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,59.0,59.0
Bhaiksuki,0.0,0.0,0.0,0.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
