script,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,pt
Hiragana,2.247191011235955,0.0,0.0,0.0,313.1868131868132,0.0,0.7978723404255319,0.0,0.2638522427440633,0.2631578947368421,35.19543185288396
Meroitic_Cursive,0.0,0.0,246.15384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.350427350427353
Myanmar,141.02564102564102,18.617021276595743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.738073589137418
Cherokee,0.0,0.0,102.3529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.372549019607844
Katakana,82.92682926829268,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,5.2631578947368425,0.3125,9.981757832929206
Tamil,1.408450704225352,0.0,0.0,0.0,0.0,0.0,70.83333333333333,0.0,0.0,0.0,8.026864893062076
Cyrillic,47.292418772563174,5.637254901960785,0.6960556844547564,2.0737327188940093,0.0,0.0,0.0,0.0,0.0,14.221218961625283,7.768964559944223
Common,27.07171314741036,11.757328734911429,0.7013606396409033,1.392951664577239,1.1540046709712872,3.096563900584001,2.8059544197075486,3.6263454638646846,2.0403116112278967,0.5937954435288415,6.026703299602689
Devanagari,40.18691588785047,1.3333333333333333,1.3157894736842106,0.0,0.0,1.2987012987012987,-1.2820512820512822,0.0,0.0,6.4935064935064934,5.482910578336058
Malayalam,25.641025641025642,1.0204081632653061,1.0101010101010102,14.0,2.6315789473684212,0.0,0.0,0.8547008547008547,0.0,0.0,5.017534957384582
Georgian,0.0,5.833333333333333,0.0,0.0,0.0,36.22047244094488,0.0,0.0,0.0,0.0,4.672645086030913
Glagolitic,0.0,0.0,0.0,40.42553191489362,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,4.6600759366716815
Meetei_Mayek,0.0,41.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.563492063492063
Sinhala,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,4.267676767676767
Inherited,13.449023861171366,7.648183556405353,0.0,0.17761989342806395,0.7092198581560284,0.176056338028169,0.351493848857645,0.3502626970227671,14.659685863874346,0.0,4.169060657438193
Arabic,8.799171842650104,18.363463368220742,1.045016077170418,1.7501988862370723,0.07818608287724785,0.078125,0.0,0.78064012490242,5.731990704879938,0.21978021978021978,4.0940635896353506
Latin,18.411214953271028,5.6037884767166535,0.8221225710014948,0.07412898443291327,0.0,0.2222222222222222,0.9608277900960828,0.5856515373352855,7.3508005822416305,0.4067796610169492,3.8263929753704726
Han,6.133854967165013,0.0039494470774091624,7.5971196503560945,0.0,9.168766975799544,0.005603622181378043,0.0,5.570809005636928,0.011676786548341896,4.450459056413522,3.6602488345753588
Sundanese,0.0,30.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4343434343434343
Siddham,0.0,0.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0864197530864197
Lao,0.0,3.076923076923077,0.0,0.0,0.0,0.0,22.388059701492537,0.0,0.0,1.2195121951219512,2.9649438859486184
