script,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,pt
Sogdian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharada,0.0,0.0,10.588235294117647,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,12.715894868585732
Zanabazar_Square,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grantha,0.0,0.0,2.4096385542168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4096385542168677
Inscriptional_Pahlavi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopic,7.375271149674621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.656565656565657,0.0,13.031836806240278
Phoenician,7.407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.407407407407407
Javanese,0.0,-1.098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.098901098901099
Braille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medefaidrin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cypro_Minoan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarati,0.0,1.2048192771084338,1.1904761904761905,0.0,7.0588235294117645,0.0,0.0,0.0,0.0,0.0,9.454118996996389
Khudawadi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SignWriting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_South_Arabian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,27.07171314741036,11.757328734911429,0.7013606396409033,1.392951664577239,1.1540046709712872,3.096563900584001,2.8059544197075486,3.6263454638646846,2.0403116112278967,0.5937954435288415,54.2403296964242
Cuneiform,0.0,5.6008146639511205,18.997107039537127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.597921703488247
Old_Permic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chakma,0.0,0.0,0.0,0.0,0.0,4.477611940298507,0.0,1.4285714285714286,0.0,0.0,5.906183368869936
Thaana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miao,0.0,0.0,0.0,0.0,0.0,0.0,12.030075187969924,0.0,0.0,0.0,12.030075187969924
Telugu,16.25,2.150537634408602,1.0526315789473684,0.0,0.0,1.0416666666666667,1.0309278350515463,0.0,2.0408163265306123,0.0,23.566580041604798
Old_Sogdian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kharoshthi,0.0,0.0,0.0,0.0,0.0,4.615384615384615,0.0,0.0,0.0,0.0,4.615384615384615
Cypriot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolian,0.6578947368421053,0.0,0.0,8.49673202614379,0.0,0.6024096385542169,0.0,0.0,0.5988023952095808,0.0,10.355838796749694
Tamil,1.408450704225352,0.0,0.0,0.0,0.0,0.0,70.83333333333333,0.0,0.0,0.0,72.24178403755869
Khojki,0.0,0.0,0.0,1.639344262295082,0.0,0.0,0.0,0.0,0.0,4.838709677419355,6.478053939714437
Hangul,1.0327911179963851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0327911179963851
Carian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lydian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hebrew,0.0,0.0,0.0,0.0,0.0,0.7518796992481203,0.0,0.0,0.0,0.0,0.7518796992481203
Psalter_Pahlavi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nag_Mundari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmyrene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caucasian_Albanian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gothic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgian,0.0,5.833333333333333,0.0,0.0,0.0,36.22047244094488,0.0,0.0,0.0,0.0,42.05380577427822
Bengali,1.098901098901099,1.0869565217391304,0.0,0.0,2.150537634408602,1.0526315789473684,0.0,0.0,0.0,0.0,5.3890268339961995
Lepcha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soyombo,0.0,0.0,0.0,0.0,0.0,1.25,2.4691358024691357,0.0,0.0,0.0,3.7191358024691357
Tai_Le,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bopomofo,9.375,0.0,0.0,0.0,1.4285714285714286,1.408450704225352,0.0,6.944444444444445,0.0,0.0,19.156466577241225
Lao,0.0,3.076923076923077,0.0,0.0,0.0,0.0,22.388059701492537,0.0,0.0,1.2195121951219512,26.684494973537564
Old_Italic,0.0,2.857142857142857,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,11.190476190476192
Gunjala_Gondi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elymaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugaritic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanunoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chorasmian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Persian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rejang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elbasan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dogra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meroitic_Hieroglyphs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Han,6.133854967165013,0.0039494470774091624,7.5971196503560945,0.0,9.168766975799544,0.005603622181378043,0.0,5.570809005636928,0.011676786548341896,4.450459056413522,32.94223951117823
Glagolitic,0.0,0.0,0.0,40.42553191489362,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,41.940683430045134
Meroitic_Cursive,0.0,0.0,246.15384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.15384615384616
Modi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Turkic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479338842975207,0.0,2.479338842975207
Old_North_Arabian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pahawh_Hmong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lycian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Uyghur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tirhuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warang_Citi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherokee,0.0,0.0,102.3529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.3529411764706
Mahajani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coptic,5.46875,1.4814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.950231481481481
Tai_Viet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ol_Chiki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vithkuqi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nushu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaithi,0.0,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,0.0,1.492537313432836,0.0,3.0076888285843513
Inscriptional_Parthian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inherited,13.449023861171366,7.648183556405353,0.0,0.17761989342806395,0.7092198581560284,0.176056338028169,0.351493848857645,0.3502626970227671,14.659685863874346,0.0,37.52154591694374
